timestamp,ist_datetime,ltp,chp,volume,oi,oipercent,totalbuyqty,totalsellqty,bid_price_1,bid_qty_1,bid_orders_1,bid_price_2,bid_qty_2,bid_orders_2,bid_price_3,bid_qty_3,bid_orders_3,bid_price_4,bid_qty_4,bid_orders_4,bid_price_5,bid_qty_5,bid_orders_5,ask_price_1,ask_qty_1,ask_orders_1,ask_price_2,ask_qty_2,ask_orders_2,ask_price_3,ask_qty_3,ask_orders_3,ask_price_4,ask_qty_4,ask_orders_4,ask_price_5,ask_qty_5,ask_orders_5,open,high,low,close
1745813487,2025-04-28 09:41:27,24338.7,0.83,1997625,12243975,4.32,409650,374925,24200.2,24365,24140,24139.1,24338.7,150,1,24338.4,150,1,24338.2,150,1,24337.9,225,2,24337.8,225,2,24343.6,150,2,24343.7,375,2,24343.8,225,2,24344.1,150,2,24344.2,300,2
1745813488,2025-04-28 09:41:28,24336,0.82,1998000,12243975,4.32,391050,377175,24200.2,24365,24140,24139.1,24336,375,2,24335.1,600,1,24335,1350,12,24334.9,225,1,24334.4,525,3,24340.7,150,2,24340.8,375,2,24340.9,75,1,24341.2,75,1,24341.3,150,1
1745813489,2025-04-28 09:41:29,24335.3,0.81,1999275,12243975,4.32,382425,365175,24200.2,24365,24140,24139.1,24335.1,75,1,24335,1350,12,24334,825,4,24333.9,75,1,24333.7,9000,5,24335.4,75,1,24335.5,75,1,24335.7,75,1,24335.8,150,1,24336.2,150,1
1745813490,2025-04-28 09:41:30,24335.1,0.81,1999275,12243975,4.32,382425,365175,24200.2,24365,24140,24139.1,24335.1,75,1,24335,1350,12,24334,825,4,24333.9,75,1,24333.7,9000,5,24335.4,75,1,24335.5,75,1,24335.7,75,1,24335.8,150,1,24336.2,150,1
1745813491,2025-04-28 09:41:31,24336.2,0.82,2000925,12243975,4.32,412875,362850,24200.2,24365,24140,24139.1,24335.4,150,1,24335.2,75,1,24335,225,2,24334.9,225,1,24334.5,300,2,24335.6,75,1,24335.7,75,1,24335.8,75,1,24335.9,75,1,24336.4,75,1
1745813492,2025-04-28 09:41:32,24336.5,0.82,2000925,12243975,4.32,412875,362850,24200.2,24365,24140,24139.1,24335.4,150,1,24335.2,75,1,24335,225,2,24334.9,225,1,24334.5,300,2,24335.6,75,1,24335.7,75,1,24335.8,75,1,24335.9,75,1,24336.4,75,1
1745813493,2025-04-28 09:41:33,24336.8,0.82,2004300,12243975,4.32,393300,369975,24200.2,24365,24140,24139.1,24336.8,75,1,24336.6,225,1,24336.2,75,1,24335.6,150,2,24335.5,150,1,24340.3,150,2,24340.4,300,1,24340.5,75,1,24342,75,1,24342.1,150,1
1745813494,2025-04-28 09:41:34,24336.5,0.82,2005800,12243975,4.32,418125,358200,24200.2,24365,24140,24139.1,24336.2,75,1,24336.1,300,2,24335.8,75,1,24335.7,225,2,24335.6,300,2,24340.1,75,1,24340.2,300,1,24340.5,75,1,24342.5,150,1,24342.8,75,1
1745813495,2025-04-28 09:41:35,24336.5,0.82,2005800,12243975,4.32,418125,358200,24200.2,24365,24140,24139.1,24336.2,75,1,24336.1,300,2,24335.8,75,1,24335.7,225,2,24335.6,300,2,24340.1,75,1,24340.2,300,1,24340.5,75,1,24342.5,150,1,24342.8,75,1
1745813496,2025-04-28 09:41:36,24335,0.81,2008575,12243975,4.32,351000,377850,24200.2,24365,24140,24139.1,24335,75,1,24334,900,5,24333.9,75,1,24333.7,9000,5,24332.6,1500,1,24335.4,150,1,24335.5,75,1,24335.8,75,1,24336.1,75,1,24336.2,75,1
