timestamp,open,high,low,close,volume,datetime
1743997500,22201.5,22248.0,21905.0,22171.35,1849275,2025-04-07 09:15:00
1743997560,22170.75,22171.9,22139.15,22147.85,589575,2025-04-07 09:16:00
1743997620,22141.0,22154.8,22012.6,22012.6,561525,2025-04-07 09:17:00
1743997680,22012.6,22019.95,21968.15,22003.85,404625,2025-04-07 09:18:00
1743997740,22003.85,22020.0,21978.05,21980.8,284775,2025-04-07 09:19:00
1743997800,21980.8,21980.8,21944.05,21951.0,375750,2025-04-07 09:20:00
1743997860,21951.0,22200.0,21951.0,22200.0,622125,2025-04-07 09:21:00
1743997920,22179.7,22179.7,22132.95,22133.8,399900,2025-04-07 09:22:00
1743997980,22133.8,22178.25,22100.0,22102.2,214275,2025-04-07 09:23:00
1743998040,22106.4,22137.0,22104.2,22124.35,124725,2025-04-07 09:24:00
1743998100,22127.95,22144.8,22106.3,22128.2,138000,2025-04-07 09:25:00
1743998160,22135.3,22169.1,22133.45,22156.75,122025,2025-04-07 09:26:00
1743998220,22156.8,22175.0,22152.15,22165.1,96300,2025-04-07 09:27:00
1743998280,22165.1,22176.15,22160.0,22165.95,114000,2025-04-07 09:28:00
1743998340,22165.0,22169.6,22155.0,22155.0,129000,2025-04-07 09:29:00
1743998400,22155.0,22196.0,22150.65,22194.25,177525,2025-04-07 09:30:00
1743998460,22197.95,22275.0,22193.95,22273.95,299700,2025-04-07 09:31:00
1743998520,22274.0,22277.0,22250.55,22252.05,262200,2025-04-07 09:32:00
1743998580,22259.9,22272.1,22236.95,22272.1,204675,2025-04-07 09:33:00
1743998640,22273.0,22285.8,22220.0,22230.0,136050,2025-04-07 09:34:00
1743998700,22228.45,22240.0,22155.0,22168.0,173700,2025-04-07 09:35:00
1743998760,22168.0,22198.5,22150.25,22168.8,112800,2025-04-07 09:36:00
1743998820,22168.8,22210.65,22144.0,22191.65,105000,2025-04-07 09:37:00
1743998880,22190.0,22192.05,22159.0,22165.9,66525,2025-04-07 09:38:00
1743998940,22161.0,22167.5,22128.0,22134.05,97500,2025-04-07 09:39:00
1743999000,22120.6,22152.95,22101.0,22117.45,151425,2025-04-07 09:40:00
1743999060,22117.05,22122.4,22091.55,22107.1,114900,2025-04-07 09:41:00
1743999120,22100.6,22106.35,22071.0,22105.95,87000,2025-04-07 09:42:00
1743999180,22102.25,22102.25,22076.15,22080.75,51600,2025-04-07 09:43:00
1743999240,22086.5,22118.65,22080.0,22113.15,86550,2025-04-07 09:44:00
1743999300,22119.15,22119.9,22091.1,22091.1,66450,2025-04-07 09:45:00
1743999360,22090.05,22091.35,22070.25,22082.8,94725,2025-04-07 09:46:00
1743999420,22082.7,22086.5,22051.0,22077.8,88950,2025-04-07 09:47:00
1743999480,22073.95,22132.6,22065.0,22111.8,77025,2025-04-07 09:48:00
1743999540,22110.0,22118.5,22093.45,22106.95,40125,2025-04-07 09:49:00
1743999600,22100.0,22122.0,22084.2,22090.75,65175,2025-04-07 09:50:00
1743999660,22087.2,22115.6,22083.9,22098.45,57825,2025-04-07 09:51:00
1743999720,22099.35,22153.0,22099.35,22153.0,80700,2025-04-07 09:52:00
1743999780,22145.3,22146.2,22109.95,22116.95,61575,2025-04-07 09:53:00
1743999840,22111.85,22137.05,22100.0,22109.0,51975,2025-04-07 09:54:00
1743999900,22105.0,22118.0,22081.0,22094.15,58575,2025-04-07 09:55:00
1743999960,22091.0,22109.9,22084.7,22100.0,50250,2025-04-07 09:56:00
1744000020,22104.0,22105.0,22066.6,22104.25,138075,2025-04-07 09:57:00
1744000080,22097.9,22105.0,22050.0,22050.0,109500,2025-04-07 09:58:00
1744000140,22052.9,22070.35,22050.0,22052.95,64200,2025-04-07 09:59:00
1744000200,22050.0,22085.0,22050.0,22065.5,43200,2025-04-07 10:00:00
1744000260,22063.5,22093.55,22063.0,22089.0,43650,2025-04-07 10:01:00
1744000320,22092.45,22100.0,22071.05,22071.05,57000,2025-04-07 10:02:00
1744000380,22073.45,22099.9,22055.65,22069.35,46125,2025-04-07 10:03:00
1744000440,22067.75,22081.95,22065.0,22073.25,41325,2025-04-07 10:04:00
1744000500,22073.65,22094.95,22047.0,22049.05,57675,2025-04-07 10:05:00
1744000560,22054.6,22080.15,22045.1,22073.55,56400,2025-04-07 10:06:00
1744000620,22073.6,22083.0,22062.4,22081.3,37275,2025-04-07 10:07:00
1744000680,22081.95,22085.15,22060.95,22079.7,64500,2025-04-07 10:08:00
1744000740,22079.7,22079.7,22060.0,22074.0,34650,2025-04-07 10:09:00
1744000800,22074.0,22083.9,22065.0,22072.4,37275,2025-04-07 10:10:00
1744000860,22072.55,22076.2,22050.0,22052.35,33225,2025-04-07 10:11:00
1744000920,22050.05,22051.85,22016.4,22021.55,66675,2025-04-07 10:12:00
1744000980,22020.75,22036.05,22019.85,22029.4,77925,2025-04-07 10:13:00
1744001040,22028.0,22028.65,22001.35,22005.65,81975,2025-04-07 10:14:00
1744001100,22007.75,22018.85,21990.0,22005.0,87000,2025-04-07 10:15:00
1744001160,22017.3,22029.25,21996.85,21999.2,37800,2025-04-07 10:16:00
1744001220,21999.45,22026.45,21991.9,22023.45,42375,2025-04-07 10:17:00
